Article_Title,Author,Year,Description,Title,Volume,Issue,Pages
"Evapotranspiration components determined by stable isotope, sap flow and eddy covariance techniques",DG Williams,2004,"Agricultural and forest meteorology 125 (3-4), 241-258, 2004",Agricultural and forest meteorology,125,3-4,241-258
"Evapotranspiration components determined by stable isotope, sap flow and eddy covariance techniques",W Cable,2004,"Agricultural and forest meteorology 125 (3-4), 241-258, 2004",Agricultural and forest meteorology,125,3-4,241-258
"Evapotranspiration components determined by stable isotope, sap flow and eddy covariance techniques",K Hultine,2004,"Agricultural and forest meteorology 125 (3-4), 241-258, 2004",Agricultural and forest meteorology,125,3-4,241-258
"Evapotranspiration components determined by stable isotope, sap flow and eddy covariance techniques",JCB Hoedjes,2004,"Agricultural and forest meteorology 125 (3-4), 241-258, 2004",Agricultural and forest meteorology,125,3-4,241-258
"Evapotranspiration components determined by stable isotope, sap flow and eddy covariance techniques",EA Yepez,2004,"Agricultural and forest meteorology 125 (3-4), 241-258, 2004",Agricultural and forest meteorology,125,3-4,241-258
"Evapotranspiration components determined by stable isotope, sap flow and eddy covariance techniques",V Simonneaux,2004,"Agricultural and forest meteorology 125 (3-4), 241-258, 2004",Agricultural and forest meteorology,125,3-4,241-258
"Monitoring wheat phenology and irrigation in Central Morocco: On the use of relationships between evapotranspiration, crops coefficients, leaf area index and remotely-sensed …",VS B. Duchemin,2006,"Agricultural Water Management 79 (1), 1-27, 2006",Agricultural Water Management,79,1,1-27
"Monitoring wheat phenology and irrigation in Central Morocco: On the use of relationships between evapotranspiration, crops coefficients, leaf area index and remotely-sensed …",R. Hadria,2006,"Agricultural Water Management 79 (1), 1-27, 2006",Agricultural Water Management,79,1,1-27
"Monitoring wheat phenology and irrigation in Central Morocco: On the use of relationships between evapotranspiration, crops coefficients, leaf area index and remotely-sensed …",S. Er-raki,2006,"Agricultural Water Management 79 (1), 1-27, 2006",Agricultural Water Management,79,1,1-27
"Monitoring wheat phenology and irrigation in Central Morocco: On the use of relationships between evapotranspiration, crops coefficients, leaf area index and remotely-sensed …",G. Boulet,2006,"Agricultural Water Management 79 (1), 1-27, 2006",Agricultural Water Management,79,1,1-27
"Monitoring wheat phenology and irrigation in Central Morocco: On the use of relationships between evapotranspiration, crops coefficients, leaf area index and remotely-sensed …",P. Maisongrande,2006,"Agricultural Water Management 79 (1), 1-27, 2006",Agricultural Water Management,79,1,1-27
Combining FAO-56 model and ground-based remote sensing to estimate water consumptions of wheat crops in a semi-arid region,S Er-Raki,2007,"Agricultural water management 87 (1), 41-54, 2007",Agricultural water management,87,1,41-54
